6 0 0.807083 -0.177078 0
6 1 0.807083 -0.177078 0
6 2 0.807083 -0.177078 0
6 3 0.807083 -0.177078 0
6 4 0.807083 -0.177078 0
6 5 0.807083 -0.177078 0
6 6 0.807083 -0.177078 0
6 7 0.807083 -0.177078 0
6 8 0.807083 -0.177078 0
6 9 0.807083 -0.177078 0
7 0 1 0.05 0
7 1 1 0.05 0
7 2 1 0.05 0
7 3 1 0.05 0
7 4 1 0.05 0
7 5 1 0.05 0
7 6 1 0.05 0
7 7 1 0.05 0
7 8 1 0.05 0
7 9 1 0.05 0
8 0 0.857083 0.225085 0
8 1 0.857083 0.225085 0
8 2 0.857083 0.225085 0
8 3 0.857083 0.225085 0
8 4 0.857083 0.225085 0
8 5 0.857083 0.225085 0
8 6 0.857083 0.225085 0
8 7 0.857083 0.225085 0
8 8 0.857083 0.225085 0
8 9 0.857083 0.225085 0
