12 0 2.49634e-15 0 0
12 1 2.49634e-15 0 0
12 2 2.49634e-15 0 0
12 3 2.49634e-15 0 0
12 4 2.49634e-15 0 0
12 5 2.49634e-15 0 0
12 6 2.49634e-15 0 0
12 7 2.49634e-15 0 0
12 8 2.49634e-15 0 0
12 9 2.49634e-15 0 0
13 0 3.53036e-15 0 0
13 1 3.53036e-15 0 0
13 2 3.53036e-15 0 0
13 3 3.53036e-15 0 0
13 4 3.53036e-15 0 0
13 5 3.53036e-15 0 0
13 6 3.53036e-15 0 0
13 7 3.53036e-15 0 0
13 8 3.53036e-15 0 0
13 9 3.53036e-15 0 0
14 0 2.49634e-15 0 0
14 1 2.49634e-15 0 0
14 2 2.49634e-15 0 0
14 3 2.49634e-15 0 0
14 4 2.49634e-15 0 0
14 5 2.49634e-15 0 0
14 6 2.49634e-15 0 0
14 7 2.49634e-15 0 0
14 8 2.49634e-15 0 0
14 9 2.49634e-15 0 0
